Invoice_ID,PO_Number,Supplier_ID,Invoice_Amount,Currency,Invoice_Date,Description,Department,Requestor,Status
INV-000001,PO-00219,SUP-045,35828.74,EUR,2025-02-23,Creative Design for Holiday Campaign (Shipping/Tax Diff),Marketing,User_14,Review Further
INV-000002,PO-00218,SUP-002,4705.37,USD,2025-11-21,Unrelated Service Fee,Marketing,User_6,Reject
INV-000003,,SUP-006,3193.53,USD,2025-10-23,Suspicious Non-PO Request,Operations,User_9,Reject
INV-000004,PO-00232,SUP-007,25742.63,USD,2025-11-23,Software Development Consultation - Q3,IT,User_5,Approve
INV-000005,,SUP-033,4710.95,USD,2025-04-02,Suspicious Non-PO Request,Marketing,User_6,Reject
INV-000006,PO-00219,SUP-045,39479.46,EUR,2025-03-22,Creative Design for Holiday Campaign,Marketing,User_14,Reject
INV-000007,PO-00212,SUP-034,17830.64,USD,2025-03-24,Software Development Consultation - Q3,IT,User_9,Approve
INV-000008,PO-00134,SUP-024,39497.49,EUR,2025-07-09,Lenovo ThinkPad X1 Carbon Gen 9,IT,User_4,Approve
INV-000009,,SUP-046,4450.53,USD,2025-10-20,Suspicious Non-PO Request,Operations,User_10,Reject
INV-000010,PO-00146,SUP-014,27566.35,EUR,2025-04-24,Corporate Insurance Premium (Shipping/Tax Diff),Finance,User_15,Review Further
INV-000011,,SUP-016,2107.33,USD,2025-09-08,Suspicious Non-PO Request,Operations,User_7,Reject
INV-000012,PO-00162,SUP-005,34459.76,USD,2025-07-21,Pest Control Quarterly Service (Shipping/Tax Diff),Operations,User_20,Review Further
INV-000013,,SUP-015,1884.17,USD,2025-10-28,Software Development Consultation - Q3,IT,User_4,Review Further
INV-000014,,SUP-049,2275.5,USD,2025-03-27,Office Cleaning Services - Monthly,Operations,User_4,Review Further
INV-000015,PO-00162,SUP-005,34466.9,USD,2025-07-06,Pest Control Quarterly Service (Shipping/Tax Diff),Operations,User_20,Review Further
INV-000016,PO-00180,SUP-012,37830.5,EUR,2025-04-09,Unrelated Service Fee,IT,User_18,Reject
INV-000017,PO-00029,SUP-016,21445.33,USD,2025-12-23,Office Supplies - Paper/Pens/Ink,Operations,User_10,Approve
INV-000018,PO-00203,SUP-043,37104.03,USD,2025-06-29,Corporate Insurance Premium,Finance,User_13,Reject
INV-000019,PO-00133,SUP-037,18798.57,EUR,2025-05-16,Cloud Hosting Services - AWS,IT,User_3,Reject
INV-000020,,SUP-030,3007.72,USD,2025-12-14,Suspicious Non-PO Request,IT,User_16,Reject
INV-000021,PO-00292,SUP-020,42714.9,USD,2025-04-10,Pest Control Quarterly Service,Operations,User_15,Approve
INV-000022,PO-00258,SUP-030,25990.19,USD,2026-01-14,Software Development Consultation - Q3 (Shipping/Tax Diff),IT,User_17,Review Further
INV-000023,PO-00249,SUP-046,1402.41,USD,2025-08-06,Breakroom Snacks and Coffee,Operations,User_7,Approve
INV-000024,,SUP-012,2546.06,USD,2025-10-22,Microsoft 365 Enterprise Licenses (Annual),IT,User_9,Review Further
INV-000025,,SUP-008,1897.33,USD,2025-07-06,Suspicious Non-PO Request,IT,User_18,Reject
INV-000026,,SUP-001,2570.16,USD,2025-09-27,Office Cleaning Services - Monthly,Operations,User_2,Review Further
INV-000027,PO-00246,SUP-039,20437.9,USD,2025-05-03,HVAC Maintenance and Repair,Operations,User_10,Reject
INV-000028,,SUP-027,4660.28,USD,2025-06-26,Suspicious Non-PO Request,Finance,User_6,Reject
INV-000029,PO-00270,SUP-014,3850.13,USD,2025-08-08,Corporate Insurance Premium,Finance,User_13,Approve
INV-000030,PO-00259,SUP-039,5015.34,USD,2025-07-09,HVAC Maintenance and Repair (Shipping/Tax Diff),Operations,User_15,Review Further
INV-000031,PO-00286,SUP-001,39036.51,USD,2025-06-27,Facilities Management Retainer,Operations,User_13,Approve
INV-000032,,SUP-022,2111.87,USD,2025-06-20,Suspicious Non-PO Request,Finance,User_1,Reject
INV-000033,PO-00186,SUP-044,13078.85,USD,2025-03-08,Corporate Insurance Premium (Shipping/Tax Diff),Finance,User_13,Review Further
INV-000034,PO-00192,SUP-016,32154.9,USD,2026-01-18,Office Cleaning Services - Monthly,Operations,User_11,Approve
INV-000035,PO-00038,SUP-044,24774.54,USD,2025-10-31,Payroll Processing Fees - Oct (Shipping/Tax Diff),Finance,User_9,Review Further
INV-000036,,SUP-029,4743.62,USD,2025-03-11,Suspicious Non-PO Request,Finance,User_7,Reject
INV-000037,PO-00027,SUP-001,47374.0,EUR,2025-11-14,Security Guard Services - Nov,Operations,User_3,Approve
INV-000038,PO-00203,SUP-043,31403.72,GBP,2025-06-07,Corporate Insurance Premium,Finance,User_13,Review Further
INV-000039,PO-00074,SUP-031,7480.19,EUR,2025-11-24,Email Marketing Platform Subscription (Shipping/Tax Diff),Marketing,User_6,Review Further
INV-000040,PO-00252,SUP-039,19147.63,USD,2025-11-27,HVAC Maintenance and Repair,Operations,User_20,Approve
INV-000041,PO-00103,SUP-049,52244.12,USD,2026-01-03,Security Guard Services - Nov (Shipping/Tax Diff),Operations,User_10,Review Further
INV-000042,PO-00153,SUP-008,18356.55,USD,2025-08-30,Cloud Hosting Services - AWS (Shipping/Tax Diff),IT,User_10,Review Further
INV-000043,,SUP-009,1527.57,USD,2025-06-15,Suspicious Non-PO Request,IT,User_10,Reject
INV-000044,PO-00173,SUP-012,900.85,EUR,2025-07-09,Dell Latitude 5520 Laptop (Count: 5),IT,User_10,Approve
INV-000045,PO-00226,SUP-042,23332.14,USD,2025-03-20,Pest Control Quarterly Service (Shipping/Tax Diff),Operations,User_11,Review Further
INV-000046,PO-00095,SUP-009,62327.19,EUR,2025-03-30,Dell Latitude 5520 Laptop (Count: 5),IT,User_19,Reject
INV-000047,,SUP-019,1473.77,USD,2025-02-23,Suspicious Non-PO Request,Operations,User_12,Reject
INV-000048,PO-00137,SUP-030,34589.56,USD,2025-10-15,Monitor 27-inch 4K - Dell UltraSharp,IT,User_17,Approve
INV-000049,,SUP-049,2831.99,USD,2025-06-02,Suspicious Non-PO Request,Operations,User_5,Reject
INV-000050,PO-00240,SUP-044,9817.85,EUR,2026-01-25,Corporate Insurance Premium,Finance,User_17,Approve
INV-000051,PO-00043,SUP-027,34981.28,EUR,2025-09-02,Bank Transaction Fees,Finance,User_5,Approve
INV-000052,,SUP-040,2095.84,USD,2025-09-12,Google Ads Spend - September,Marketing,User_4,Review Further
INV-000053,PO-00201,SUP-050,62696.86,USD,2025-10-17,Waste Management Services,Operations,User_16,Reject
INV-000054,PO-00292,SUP-020,42714.9,USD,2025-04-12,Pest Control Quarterly Service,Operations,User_15,Approve
INV-000055,PO-00268,SUP-040,36067.94,USD,2025-05-23,Creative Design for Holiday Campaign,Marketing,User_1,Review Further
INV-000056,PO-00162,SUP-005,31526.56,USD,2025-06-28,Pest Control Quarterly Service,Operations,User_20,Approve
INV-000057,PO-00276,SUP-012,20212.09,USD,2025-10-16,Server Rack Maintenance Fee,IT,User_2,Approve
INV-000058,PO-00194,SUP-025,11189.59,USD,2025-12-06,Office Supplies - Paper/Pens/Ink,Operations,User_5,Approve
INV-000059,PO-00042,SUP-045,606.69,USD,2025-08-15,Email Marketing Platform Subscription,Marketing,User_15,Approve
INV-000060,PO-00051,SUP-001,13627.42,USD,2025-11-06,Facilities Management Retainer,Operations,User_8,Approve
INV-000061,PO-00294,SUP-017,19469.0,USD,2025-11-29,Cloud Hosting Services - AWS,IT,User_6,Reject
INV-000062,PO-00247,SUP-037,29954.54,USD,2025-03-30,Microsoft 365 Enterprise Licenses (Annual),IT,User_18,Approve
INV-000063,PO-00255,SUP-046,48297.03,USD,2025-07-04,Pest Control Quarterly Service,Operations,User_12,Approve
INV-000064,PO-00248,SUP-022,39687.27,USD,2026-01-08,Tax Consultation Fees,Finance,User_14,Approve
INV-000065,PO-00185,SUP-016,2928.17,USD,2025-04-14,Office Cleaning Services - Monthly (Shipping/Tax Diff),Operations,User_16,Review Further
INV-000066,PO-00062,SUP-028,47316.35,EUR,2025-06-10,Cisco Meraki MR56 Access Points (Shipping/Tax Diff),IT,User_1,Review Further
INV-000067,PO-00136,SUP-027,43051.51,USD,2025-04-20,Corporate Insurance Premium (Shipping/Tax Diff),Finance,User_15,Review Further
INV-000068,PO-00057,SUP-044,32037.11,USD,2025-04-06,Financial Reporting Software - Seat License,Finance,User_15,Approve
INV-000069,,SUP-022,1948.69,USD,2025-08-30,Suspicious Non-PO Request,Finance,User_9,Reject
INV-000070,PO-00143,SUP-039,20876.43,USD,2025-08-12,Pest Control Quarterly Service,Operations,User_13,Approve
INV-000071,PO-00283,SUP-050,2596.58,EUR,2025-10-12,Facilities Management Retainer,Operations,User_9,Approve
INV-000072,,SUP-025,1568.69,USD,2025-08-09,Suspicious Non-PO Request,Operations,User_17,Reject
INV-000073,PO-00210,SUP-008,57788.43,USD,2025-12-29,Monitor 27-inch 4K - Dell UltraSharp,IT,User_10,Reject
INV-000074,PO-00114,SUP-006,44065.31,USD,2026-02-16,Office Cleaning Services - Monthly,Operations,User_3,Approve
INV-000075,PO-00259,SUP-039,4651.82,GBP,2025-07-13,HVAC Maintenance and Repair,Operations,User_15,Review Further
INV-000076,PO-00265,SUP-016,27665.81,USD,2025-05-14,Unrelated Service Fee,Operations,User_10,Reject
INV-000077,PO-00248,SUP-022,51845.93,USD,2026-01-02,Tax Consultation Fees,Finance,User_14,Reject
INV-000078,,SUP-018,2842.64,USD,2025-02-14,Suspicious Non-PO Request,Operations,User_18,Reject
